Bureau of Meteorology station number,Year,Month,Day,Rainfall amount (millimetres),Period over which rainfall was measured (days),index,Quality_Y
66052,2015,1,1,0.0,,0,True
66052,2015,1,2,0.0,,1,True
66052,2015,1,3,0.0,,2,True
66052,2015,1,4,0.0,,3,True
66052,2015,1,5,0.0,,4,True
66052,2015,1,6,0.0,,5,True
66052,2015,1,7,0.0,,6,True
66052,2015,1,8,0.0,,7,True
66052,2015,1,9,0.0,,8,True
66052,2015,1,10,0.0,,9,True
66052,2015,1,11,19.8,1.0,10,True
66052,2015,1,12,6.6,1.0,11,True
66052,2015,1,13,4.0,1.0,12,True
66052,2015,1,14,0.6,1.0,13,True
66052,2015,1,15,0.0,,14,True
66052,2015,1,16,0.0,,15,True
66052,2015,1,17,0.0,,16,True
66052,2015,1,18,0.0,,17,True
66052,2015,1,19,0.4,1.0,18,True
66052,2015,1,20,21.8,1.0,19,True
66052,2015,1,21,3.2,1.0,20,True
66052,2015,1,22,0.0,,21,True
66052,2015,1,23,0.0,,22,True
66052,2015,1,24,0.0,,23,True
66052,2015,1,25,1.4,1.0,24,True
66052,2015,1,26,2.6,1.0,25,True
66052,2015,1,27,49.6,1.0,26,True
66052,2015,1,28,66.6,1.0,27,True
66052,2015,1,29,15.2,1.0,28,True
66052,2015,1,30,0.0,,29,True
66052,2015,1,31,0.0,,30,True
66052,2015,2,1,0.0,,31,True
66052,2015,2,2,10.2,1.0,32,True
66052,2015,2,3,4.0,1.0,33,True
66052,2015,2,4,0.2,1.0,34,True
66052,2015,2,5,13.6,1.0,35,True
66052,2015,2,6,0.0,,36,True
66052,2015,2,7,0.0,,37,True
66052,2015,2,8,0.0,,38,True
66052,2015,2,9,0.1,1.0,39,True
66052,2015,2,10,0.4,1.0,40,True
66052,2015,2,11,0.0,,41,True
66052,2015,2,12,0.0,,42,True
66052,2015,2,13,6.2,1.0,43,True
66052,2015,2,14,0.2,1.0,44,True
66052,2015,2,15,0.6,1.0,45,True
66052,2015,2,16,0.0,,46,True
66052,2015,2,17,0.0,,47,True
66052,2015,2,18,0.0,,48,True
66052,2015,2,19,0.0,,49,True
66052,2015,2,20,0.0,,50,True
66052,2015,2,21,9.3,1.0,51,True
66052,2015,2,22,6.2,1.0,52,True
66052,2015,2,23,0.2,1.0,53,True
66052,2015,2,24,0.0,,54,True
66052,2015,2,25,0.4,1.0,55,True
66052,2015,2,26,6.8,1.0,56,True
66052,2015,2,27,4.0,1.0,57,True
66052,2015,2,28,0.0,1.0,58,True
66052,2015,3,1,0.0,,59,True
66052,2015,3,2,6.8,1.0,60,True
66052,2015,3,3,0.0,,61,True
66052,2015,3,4,0.0,,62,True
66052,2015,3,5,0.0,,63,True
66052,2015,3,6,0.0,,64,True
66052,2015,3,7,0.6,1.0,65,True
66052,2015,3,8,0.0,,66,True
66052,2015,3,9,0.0,,67,True
66052,2015,3,10,0.0,,68,True
66052,2015,3,11,0.0,,69,True
66052,2015,3,12,0.4,1.0,70,True
66052,2015,3,13,0.6,1.0,71,True
66052,2015,3,14,5.0,1.0,72,True
66052,2015,3,15,0.0,,73,True
66052,2015,3,16,6.8,1.0,74,True
66052,2015,3,17,0.0,,75,True
66052,2015,3,18,0.0,,76,True
66052,2015,3,19,0.3,1.0,77,True
66052,2015,3,20,0.0,,78,True
66052,2015,3,21,2.8,1.0,79,True
66052,2015,3,22,0.4,1.0,80,True
66052,2015,3,23,3.0,1.0,81,True
66052,2015,3,24,0.0,,82,True
66052,2015,3,25,23.0,1.0,83,True
66052,2015,3,26,0.0,,84,True
66052,2015,3,27,0.0,,85,True
66052,2015,3,28,0.0,,86,True
66052,2015,3,29,0.0,,87,True
66052,2015,3,30,0.0,,88,True
66052,2015,3,31,17.0,1.0,89,True
66052,2015,4,1,8.0,1.0,90,True
66052,2015,4,2,0.0,,91,True
