year,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00,index,averagemwh
2015,9.43102,8.81371,8.50506,8.11067,7.9735,7.81917,7.54481,7.3219,7.11613,7.08184,7.08184,6.94466,6.84177,6.84177,6.68745,6.61886,6.6703,6.84177,6.84177,6.84177,6.97895,7.35619,7.6134,8.23071,8.89945,10.03117,11.28293,12.689,13.87217,14.9696,15.15822,14.71239,14.24941,13.94076,13.32345,13.08339,13.0491,12.99766,12.87762,13.0148,12.96336,12.87762,12.41465,12.46609,12.3975,12.34606,12.41465,12.43179,12.38035,12.32891,12.32891,12.19173,10.13406,9.60249,11.28293,11.88308,11.91738,11.71161,10.78565,11.52299,11.40296,11.40296,11.71161,11.96882,12.31176,12.689,12.82618,13.25487,13.82073,14.81527,15.5526,16.39282,16.83865,17.38737,18.03896,18.31332,18.65627,18.7763,18.39906,18.22758,17.97037,17.85034,17.25019,16.99298,16.49571,16.01558,15.74122,15.07248,14.76383,13.7007,12.96336,12.26032,11.28293,10.52844,9.89399,9.2424,123,13.179936907216502
2015,8.79657,8.40218,8.04209,7.6477,7.42478,7.21901,7.09898,7.01325,7.01325,6.82463,6.53312,6.51598,6.55027,6.55027,6.41309,6.48168,6.53312,6.53312,6.53312,6.68745,6.7046,6.92751,7.39049,7.90491,8.64224,9.73967,10.73421,12.08885,13.40919,14.45518,15.00389,14.86671,14.45518,14.11223,13.73499,13.23772,12.98051,12.74045,12.60327,12.51753,12.50038,12.55183,12.75759,12.7233,12.65471,12.7233,12.74045,12.74045,13.16913,13.28916,12.96336,12.70615,12.86048,12.53468,12.58612,12.48324,12.51753,12.29462,12.41465,12.63756,12.58612,12.60327,12.67186,13.10054,13.58066,13.75214,14.07794,14.83242,15.5526,16.2042,17.06157,17.97037,18.51909,18.99921,19.66796,20.13093,20.30241,20.38814,20.49103,20.25096,20.02805,19.85658,19.54793,19.22213,18.86203,18.39906,18.26188,17.69602,17.26733,16.27279,15.34684,14.36944,13.28916,12.26032,11.43725,10.87139,124,13.903539175257734
2015,10.30553,9.67108,9.25954,8.76227,8.53936,8.24785,7.99064,7.88776,7.66484,7.51052,7.51052,7.51052,7.51052,7.3219,7.27046,7.27046,7.49337,7.49337,7.44193,7.47622,7.75058,7.71629,8.43647,8.8823,9.97973,11.09431,12.44894,13.87217,15.19251,16.51285,16.99298,16.90724,16.47856,15.79267,14.9696,14.86671,14.38659,14.40373,14.57521,14.36944,14.18082,14.18082,14.16367,13.9922,13.83787,13.73499,13.82073,13.73499,13.9579,13.76928,13.64925,13.44349,13.47778,13.39204,13.30631,13.32345,13.30631,13.15198,13.20342,13.11769,13.0491,13.27201,13.18628,13.22057,13.82073,13.97505,14.318,15.14107,15.84411,16.54715,17.35307,18.4162,18.98206,19.7194,20.35385,20.76538,21.26266,21.36554,21.21121,21.00545,20.86827,20.52532,20.14808,19.63366,19.34216,19.0678,18.65627,18.10755,17.45595,16.63288,15.84411,14.71239,13.82073,12.82618,11.76305,11.00857,125,14.81169474226804
2015,10.25409,9.68823,9.46531,9.15666,8.83086,8.57365,8.38503,8.12782,7.88776,7.78488,7.57911,7.59626,7.49337,7.37334,7.37334,7.35619,5.24707,6.63601,7.57911,6.82463,5.6929,8.09353,8.5565,9.12237,10.06547,11.21434,12.65471,14.00935,15.15822,16.28994,16.63288,16.51285,15.92984,15.74122,15.19251,14.57521,14.318,14.04364,13.71784,13.7007,13.59781,13.54637,13.71784,13.85502,13.63211,13.54637,13.56352,13.59781,13.46063,13.68355,13.59781,13.35775,13.30631,13.32345,13.18628,13.13483,13.83787,13.61496,13.54637,13.32345,13.10054,13.0491,13.10054,13.32345,13.80358,14.2837,14.83242,15.70693,16.13561,16.83865,17.4731,18.58768,19.37645,19.75369,20.49103,20.76538,20.79968,20.93686,21.14262,21.05689,20.90256,20.62821,20.14808,20.02805,19.75369,19.29072,19.1021,18.48479,17.93608,17.11301,16.30709,15.27825,14.16367,13.18628,12.19173,11.43725,126,14.818291855670102
2015,10.75136,10.21979,9.75682,9.36243,9.05378,8.74512,8.41933,8.23071,8.02494,7.9392,7.83632,7.68199,7.73343,7.68199,7.49337,7.45908,7.52767,7.69914,7.52767,7.69914,7.9392,8.17926,8.57365,9.07092,9.96258,11.33437,12.55183,13.83787,14.95245,15.98129,16.39282,16.34138,16.15276,15.96414,15.41543,15.19251,14.90101,14.76383,14.54091,14.57521,14.36944,14.35229,14.30085,14.40373,14.54091,14.21511,14.07794,13.92361,13.87217,13.71784,13.54637,13.3749,13.39204,13.28916,13.06624,12.87762,12.84333,12.92907,12.92907,12.94621,12.84333,13.16913,13.11769,13.49493,13.63211,14.26656,14.6438,15.46687,16.10132,16.71862,17.59313,18.55338,19.11924,19.54793,20.0109,19.70225,19.46219,19.23927,19.0678,19.15354,18.84489,18.43335,18.0904,17.90178,17.67887,17.28448,17.1473,16.58144,16.46141,15.74122,15.19251,14.52377,13.76928,13.13483,12.43179,11.57443,127,14.671446804123718
2015,11.18004,10.54559,10.06547,9.65393,9.32813,9.01948,8.65939,8.5565,8.21356,8.11067,7.90491,7.90491,7.90491,7.85346,7.54481,7.59626,7.57911,7.52767,7.44193,7.44193,7.44193,7.6134,7.73343,7.9735,8.33359,8.72798,9.5682,10.16835,10.90568,11.50584,11.93452,12.43179,13.35775,14.07794,14.66094,15.02104,15.50116,15.92984,16.54715,16.97583,16.95868,17.1816,17.30163,17.5074,17.57599,17.35307,16.89009,16.78721,16.70147,16.2385,15.98129,15.48401,15.10677,14.6095,14.40373,14.318,14.14652,14.33515,15.02104,15.05533,15.07248,14.74668,14.95245,15.38113,15.56975,15.84411,16.27279,16.66718,17.19874,18.07326,18.46765,19.08495,19.49648,19.6851,20.07949,19.7194,19.32501,18.79344,18.4505,17.81605,17.52454,17.23304,16.80436,16.53,16.08417,15.62119,15.44972,15.02104,15.05533,14.59235,14.33515,13.76928,13.18628,12.65471,12.00311,11.50584,128,14.860476804123714
2015,10.88854,10.44271,10.01402,9.48246,9.39672,9.15666,8.67654,8.5565,8.29929,8.11067,7.9735,7.71629,7.59626,7.54481,7.57911,7.63055,7.59626,7.44193,7.39049,7.39049,7.39049,7.56196,7.44193,7.68199,7.81917,8.28215,8.69368,8.98519,9.5682,10.1512,10.45985,11.00857,11.79734,12.29462,12.99766,13.61496,13.94076,14.79812,15.38113,15.60405,15.79267,15.96414,15.8784,15.79267,15.77552,15.70693,15.41543,15.2611,14.9353,14.66094,14.54091,14.00935,13.82073,13.6664,13.42634,13.11769,12.94621,13.11769,12.92907,12.82618,12.689,12.63756,12.77474,12.89477,13.35775,14.07794,14.38659,14.76383,15.39828,16.13561,16.97583,18.00467,18.58768,19.22213,19.65081,19.87372,19.41075,19.35931,19.0678,18.75915,18.55338,18.34761,17.85034,17.57599,17.11301,16.51285,16.27279,15.53546,15.07248,14.24941,13.56352,12.96336,12.0717,11.33437,10.5113,9.8254,129,14.106405979381442
2015,9.43102,9.13951,8.74512,8.45362,8.24785,7.69914,7.47622,7.23616,7.16757,6.96181,6.91036,6.7046,6.7046,6.72174,6.68745,6.55027,6.63601,6.63601,6.63601,6.84177,7.01325,7.51052,7.9735,8.265,9.13951,10.33982,11.36866,12.55183,13.92361,14.81527,15.12392,14.74668,14.36944,13.82073,13.58066,13.10054,12.86048,12.67186,12.7233,12.62042,12.38035,12.3975,12.32891,12.24317,12.05455,12.17459,12.12314,12.106,12.19173,12.22603,12.15744,11.95167,11.72876,11.67731,11.66017,11.59158,11.60872,11.69446,11.88308,11.83164,11.72876,11.64302,11.7459,11.95167,12.31176,12.44894,12.91192,13.3749,13.73499,14.318,15.12392,16.11846,16.8558,17.71316,18.4162,19.03351,19.18783,19.41075,19.70225,19.41075,19.22213,19.05065,18.87918,18.53623,17.97037,17.02727,16.8558,15.99843,15.38113,14.42088,13.7007,12.77474,11.98596,10.97427,10.21979,9.49961,130,13.46140484536083
2015,9.17381,8.77942,8.33359,8.04209,7.87061,7.57911,7.2876,7.03039,7.08184,6.94466,6.72174,6.55027,6.6703,6.6703,6.6703,6.6703,6.7046,6.7046,6.80748,6.92751,7.03039,7.16757,7.76773,8.11067,8.95089,10.06547,11.14575,12.46609,13.18628,14.24941,14.52377,14.36944,14.18082,13.6664,13.03195,12.67186,12.55183,12.56897,12.46609,12.3975,12.31176,12.106,12.08885,12.0717,11.96882,11.86593,11.81449,11.55728,11.76305,11.71161,11.57443,11.67731,11.48869,11.4201,11.36866,11.38581,11.47155,11.4544,11.50584,11.55728,11.33437,11.28293,11.66017,11.84879,11.96882,12.29462,12.48324,12.96336,13.51207,13.9579,14.67809,15.82696,16.65003,17.21589,17.59313,17.86749,17.7989,17.8332,17.91893,17.69602,17.54169,17.31878,16.92439,16.73577,16.28994,15.75837,15.41543,14.47232,14.00935,13.25487,12.74045,12.106,11.24863,10.42556,9.68823,9.05378,131,12.993004432989691
2015,8.69368,8.28215,7.90491,7.63055,7.47622,7.25331,6.9961,6.75604,6.6703,6.6703,6.51598,6.22447,6.19018,6.31021,6.41309,6.41309,6.3445,6.3445,6.3445,6.3445,6.7046,6.92751,7.30475,7.68199,8.60795,9.39672,10.61418,12.00311,13.11769,14.40373,14.9353,12.89477,12.62042,11.47155,12.27747,13.0148,12.79189,12.51753,12.48324,12.32891,12.31176,12.106,11.98596,11.96882,11.88308,11.90023,11.81449,11.7802,11.91738,11.91738,11.93452,11.76305,11.64302,11.55728,11.54013,11.43725,11.62587,11.59158,11.64302,11.47155,11.33437,11.36866,11.47155,11.60872,10.85424,9.44816,9.94544,12.75759,13.06624,13.51207,14.04364,14.95245,15.38113,16.11846,16.59859,16.8215,16.78721,16.78721,16.90724,16.47856,16.03273,16.01558,15.92984,15.70693,15.34684,14.98674,14.67809,14.19797,14.07794,13.35775,12.98051,12.12314,11.35151,10.54559,9.8597,9.19095,132,12.600970103092779
