Year,index,Rainfall,Solar_Exposure,Min_Temp,Max_Temp,Average_MWH
2015,0,0.0,31.0,21.0,24.4,13.41559587628866
2015,1,0.0,18.3,21.4,24.4,12.725163917525776
2015,2,0.0,31.4,21.3,25.1,12.8358812371134
2015,3,0.0,24.4,22.4,24.9,12.270077216494848
2015,4,0.0,16.3,20.7,23.4,12.951429484536089
2015,5,0.0,27.9,21.1,25.1,12.91595329896907
2015,6,0.0,31.1,22.4,25.4,12.662778041237113
2015,7,0.0,31.9,21.0,24.3,13.263343608247425
2015,8,0.0,26.4,21.9,25.8,12.90472092783505
2015,9,0.0,15.9,21.7,25.2,12.901064948453609
2015,10,19.8,3.2,20.9,22.3,13.192448041237114
2015,11,6.6,15.7,20.3,22.7,13.251724329896904
2015,12,4.0,22.0,19.1,27.6,13.961890824742268
2015,13,0.6,28.2,20.7,31.8,12.0469293814433
2015,14,0.0,30.8,23.3,25.5,13.021923195876283
2015,15,0.0,28.3,21.5,26.4,13.950584845360824
2015,16,0.0,32.0,22.7,31.7,14.094007010309282
2015,17,0.0,30.2,21.6,24.7,13.782937422680414
2015,18,0.4,6.5,20.9,22.1,15.213820927835052
2015,19,21.8,23.6,18.2,23.6,15.029853298969076
2015,20,3.2,29.2,19.0,25.3,14.24131051546392
2015,21,0.0,29.1,21.9,25.3,14.000951340206186
2015,22,0.0,28.7,22.3,24.9,13.547222061855674
2015,23,0.0,28.2,22.4,25.5,13.140516701030927
2015,24,1.4,26.8,22.1,29.2,13.308156185567007
2015,25,2.6,3.3,20.2,22.2,13.57196268041238
2015,26,49.6,3.3,18.7,20.8,14.05426474226804
2015,27,66.6,4.4,17.6,21.0,13.393000927835052
2015,28,15.2,30.3,16.0,21.0,14.18041855670104
2015,29,0.0,28.0,16.5,23.7,14.406748453608255
2015,30,0.0,29.2,17.8,23.8,14.289955670103096
2015,31,0.0,18.9,20.2,23.4,13.58449742268041
2015,32,10.2,26.0,18.3,21.9,14.03498
2015,33,4.0,24.0,18.1,23.2,14.59435680412371
2015,34,0.2,18.9,18.5,22.3,14.278337113402063
2015,35,13.6,6.5,18.6,22.3,14.359534226804124
2015,36,0.0,17.3,18.8,23.5,13.939039381443306
2015,37,0.0,21.6,19.7,23.7,13.327802886597938
2015,38,0.0,28.2,19.6,27.3,13.087266185567003
2015,39,0.1,9.1,22.2,24.5,12.855214536082476
2015,40,0.4,21.3,22.2,25.7,13.948809587628867
2015,41,0.0,26.3,23.2,25.4,14.116096701030932
2015,42,0.0,25.8,21.8,26.1,13.422659175257731
2015,43,6.2,16.4,21.1,25.4,14.082797628865974
2015,44,0.2,18.2,21.4,24.9,13.491007731958767
2015,45,0.6,25.0,21.3,25.8,13.196731340206188
2015,46,0.0,25.9,22.3,24.9,13.27898855670103
2015,47,0.0,26.6,22.2,24.7,14.319019072164949
2015,48,0.0,26.5,22.1,24.3,14.283543711340204
2015,49,0.0,19.4,21.9,25.1,13.682560515463916
2015,50,0.0,14.5,21.8,25.8,11.826819587628863
2015,51,9.3,11.7,20.5,24.5,13.015872886597936
2015,52,6.2,22.4,21.1,24.7,12.709045670103096
2015,53,0.2,19.2,21.7,24.2,12.827542680412368
2015,54,0.0,15.6,21.9,23.5,13.768225463917528
2015,55,0.4,9.1,20.8,22.5,13.960967731958764
2015,56,6.8,15.2,19.7,23.4,13.697273402061857
2015,57,4.0,20.9,20.4,25.2,13.434109278350515
2015,58,0.0,20.4,20.5,24.1,14.62652226804124
2015,59,0.0,17.9,21.7,29.8,15.13693247422681
2015,60,6.8,14.0,19.1,22.9,14.840710515463922
2015,61,0.0,21.6,18.2,23.3,14.48279525773196
2015,62,0.0,18.8,21.0,26.1,14.843120721649486
2015,63,0.0,22.8,21.2,25.3,15.193725567010306
2015,64,0.0,23.8,17.0,28.6,15.131732061855672
2015,65,0.6,17.1,18.7,23.2,15.445213505154644
2015,66,0.0,18.4,18.7,24.1,15.182757010309276
2015,67,0.0,23.8,20.8,28.8,14.277011134020611
2015,68,0.0,6.8,21.6,24.7,14.30482113402062
2015,69,0.0,19.2,21.7,27.0,14.445944226804128
2015,70,0.4,20.1,20.4,25.2,15.595754432989697
2015,71,0.6,3.5,20.5,21.7,15.204604432989695
2015,72,5.0,20.7,16.8,23.2,15.512959587628869
