year,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00,index,averagemwh
2008,20.0532,23.19001,21.50958,20.12789,19.38102,22.70455,21.84566,20.61334,19.11962,18.63416,17.70059,17.02842,16.76701,16.43093,16.28155,16.09484,16.35624,16.46827,16.61764,16.91639,18.29808,18.78354,19.67977,20.91209,22.59252,23.63813,24.64639,23.48876,25.50528,26.81229,27.63383,28.60475,29.46364,29.76238,30.2105,30.92002,31.18142,30.95736,31.89094,31.77891,32.22702,31.89094,31.92828,32.22702,32.48842,32.97388,33.04857,33.08591,32.8992,32.71248,32.41374,31.06939,31.18142,30.80799,31.18142,31.21876,31.2561,31.14407,30.62127,29.91176,30.32253,29.91176,29.1649,29.79973,30.39721,30.4719,30.13581,29.27692,29.20224,29.9491,30.32253,29.9491,29.6877,29.38895,28.79146,28.75412,28.38069,27.59649,27.22306,26.62557,27.07369,25.76668,26.4762,25.20654,25.28122,24.27296,23.30204,22.21909,21.99504,24.90779,23.63813,22.06972,23.63813,22.29378,23.48876,17.77528,0,25.790164639175252
2008,16.80436,19.04494,17.77528,16.99107,16.28155,19.60508,22.51784,21.73363,20.46397,19.41837,17.84996,17.58856,16.80436,16.39358,16.09484,16.39358,16.28155,16.54296,16.69233,17.43919,18.70885,19.04494,20.3146,21.02412,22.66721,23.37673,25.35591,23.60079,25.39325,26.96166,27.93258,28.45538,29.38895,29.9491,30.17316,30.24784,30.95736,30.58393,31.70422,31.51751,30.32253,29.91176,30.65862,30.84533,30.77064,31.21876,31.03205,30.84533,30.88267,31.29345,30.9947,31.14407,30.84533,30.77064,31.14407,31.40548,31.40548,31.14407,31.06939,30.77064,30.84533,30.13581,30.02378,29.98644,29.6877,29.98644,29.38895,28.56741,29.20224,29.20224,29.27692,29.1649,29.09021,29.1649,27.93258,28.00726,27.11103,26.70026,26.06542,25.43059,26.28948,25.01982,25.65465,24.19827,24.49702,23.15267,22.14441,21.06146,21.0988,24.01156,22.92861,22.06972,23.75016,22.36847,23.33938,21.77098,1,25.297690412371125
2008,20.72537,23.45141,21.80832,20.38929,19.49305,23.04064,21.80832,20.72537,19.49305,18.59682,17.66325,17.14044,16.65498,16.39358,16.13218,16.20687,16.5803,16.54296,16.61764,17.55122,18.55948,19.15697,19.94117,21.65895,22.06972,23.11533,24.34765,23.56344,25.13185,26.10277,27.14837,27.5218,28.30601,28.34335,28.75412,29.61301,30.43456,30.84533,31.18142,31.66688,31.59219,31.55485,32.15234,31.66688,31.44282,31.74156,31.92828,32.26437,32.04031,31.96562,32.04031,32.48842,32.00296,32.18968,32.48842,32.67514,32.60045,32.71248,32.11499,32.52577,31.85359,31.48016,31.10673,31.18142,31.03205,31.06939,30.13581,29.6877,28.79146,30.06113,30.65862,30.54659,30.32253,29.87441,29.05287,29.1649,27.7832,26.7376,26.43885,25.61731,25.91605,25.16919,25.39325,24.08624,24.3103,22.70455,22.21909,21.13615,21.88301,24.64639,23.89953,21.99504,23.60079,22.21909,23.07798,21.65895,2,25.82656701030927
2008,20.0532,23.0033,21.95769,20.50132,19.41837,22.96595,22.33112,20.91209,19.64243,18.52214,17.84996,17.32716,16.76701,16.13218,16.3189,16.39358,16.39358,16.69233,16.80436,17.28982,18.37276,19.15697,19.82914,21.13615,21.77098,23.19001,24.23562,22.66721,24.5717,26.28948,26.7376,27.22306,27.93258,29.50098,29.76238,30.28519,30.50924,30.65862,31.81625,32.00296,31.59219,32.04031,32.22702,32.07765,32.37639,32.56311,32.48842,31.96562,31.77891,32.04031,32.33905,32.26437,32.22702,32.52577,32.52577,32.48842,32.67514,32.00296,32.26437,31.85359,31.81625,31.36813,30.69596,30.77064,30.32253,29.6877,29.38895,28.08195,28.30601,28.56741,28.90349,28.56741,27.67117,27.48446,27.11103,26.25214,25.54262,24.79576,24.34765,23.63813,24.34765,23.56344,23.71281,23.04064,23.30204,21.88301,21.39755,20.68803,20.65069,23.86219,22.92861,21.3602,23.71281,22.40581,23.48876,22.10707,3,25.443427422680422
2008,21.02412,23.93687,22.18175,20.65069,19.5304,23.30204,22.33112,20.91209,19.49305,18.55948,18.07402,17.21513,16.69233,16.39358,16.13218,15.75875,16.02015,16.0575,16.20687,16.5803,16.87904,16.95373,17.14044,17.73793,18.29808,18.33542,19.15697,18.74619,19.82914,20.53866,21.0988,22.62987,22.62987,23.30204,23.48876,23.63813,24.08624,24.27296,24.60905,25.01982,24.72108,25.05716,25.57997,25.28122,24.87045,24.72108,24.94513,24.75842,24.64639,24.0489,24.27296,23.89953,23.93687,24.08624,23.86219,23.86219,23.5261,23.60079,23.04064,23.19001,22.96595,22.66721,22.81658,22.96595,23.0033,23.22736,23.56344,22.92861,24.27296,25.31856,26.10277,26.10277,25.9534,25.35591,25.76668,24.5717,24.3103,23.60079,23.41407,22.7419,23.60079,22.77924,23.07798,21.92035,22.7419,21.43489,20.94943,20.576,21.65895,24.64639,23.86219,22.25644,24.38499,22.81658,23.67547,22.21909,4,21.95465742268042
2008,21.24818,24.23562,22.7419,20.94943,20.23991,23.5261,22.44315,21.43489,19.97851,18.67151,17.8873,17.17779,16.76701,16.09484,16.28155,15.87078,15.87078,15.94547,15.34798,15.75875,16.24421,16.80436,16.80436,17.1031,17.40185,17.02842,17.51387,16.65498,17.40185,17.96199,19.269,19.30634,20.65069,20.94943,21.02412,21.95769,22.06972,22.29378,23.37673,22.66721,22.81658,22.55518,23.11533,23.30204,23.11533,22.66721,22.89127,23.0033,22.81658,22.29378,21.84566,21.99504,21.92035,21.99504,22.06972,21.69629,21.50958,21.65895,21.39755,21.32286,21.39755,21.02412,21.73363,21.80832,21.84566,21.80832,22.33112,22.10707,23.33938,24.94513,25.57997,25.57997,25.72934,25.46794,25.31856,24.49702,24.12359,23.48876,23.04064,22.81658,23.45141,22.62987,22.7419,21.58426,22.03238,21.21083,20.65069,19.5304,20.01586,23.56344,22.7419,21.65895,23.63813,21.99504,23.22736,21.65895,5,20.971719896907214
2008,20.12789,23.07798,21.32286,20.38929,19.19431,22.66721,21.77098,20.91209,19.15697,18.52214,17.6259,16.87904,16.54296,16.13218,16.20687,16.20687,15.7961,16.39358,16.50561,17.40185,18.55948,19.04494,19.90383,21.02412,22.36847,23.37673,24.34765,23.2647,24.27296,25.54262,26.77494,28.23132,28.90349,28.86615,29.27692,29.6877,29.98644,30.2105,31.66688,31.62953,31.89094,32.45108,32.18968,32.33905,32.00296,31.81625,32.22702,31.74156,31.48016,31.74156,31.77891,31.89094,31.92828,31.92828,32.45108,32.15234,32.30171,31.70422,30.77064,30.58393,30.65862,30.54659,30.2105,30.06113,29.76238,29.72504,30.09847,30.17316,30.54659,30.95736,31.03205,30.4719,30.62127,29.98644,29.50098,28.30601,27.82055,26.92431,26.51354,26.06542,26.84963,25.24388,25.80402,24.42233,25.05716,23.75016,22.18175,21.06146,21.13615,24.34765,23.37673,21.69629,24.01156,22.4805,23.71281,21.95769,6,25.77540948453608
2008,20.76272,23.75016,22.44315,20.76272,19.86648,23.41407,22.29378,21.21083,19.94117,18.85822,18.07402,17.40185,17.21513,16.87904,16.5803,16.76701,16.95373,17.06576,17.3645,17.92465,19.08228,19.269,21.17349,21.95769,22.29378,23.33938,24.83311,22.85393,24.72108,25.87871,27.07369,28.0446,28.82881,29.31427,29.50098,30.02378,30.24784,30.92002,31.59219,31.81625,31.77891,32.11499,32.8992,32.67514,32.97388,33.34731,33.53403,33.30997,33.38466,33.19794,33.57137,34.2062,33.53403,33.72074,34.01949,34.24355,33.87011,33.1606,32.60045,32.41374,31.96562,31.92828,32.07765,32.00296,31.51751,31.33079,31.81625,31.03205,31.21876,31.55485,31.29345,30.4719,30.13581,29.72504,29.53833,28.79146,28.49272,27.67117,26.96166,26.40151,26.88697,25.54262,26.43885,25.05716,25.01982,23.67547,22.4805,21.47223,21.84566,24.83311,23.7875,21.77098,23.67547,22.06972,23.22736,21.58426,7,26.444803402061858
2008,19.86648,23.19001,21.62161,20.91209,19.7918,23.56344,22.33112,21.02412,20.20257,19.08228,18.37276,17.81262,17.84996,16.91639,16.99107,17.21513,17.25247,17.14044,17.55122,18.44745,19.34368,20.0532,21.0988,22.14441,22.4805,23.71281,24.49702,26.2148,28.75412,30.35987,31.33079,31.44282,32.78717,33.57137,33.75809,33.422,33.19794,33.72074,34.05683,34.84103,34.43026,34.50495,33.87011,34.01949,33.72074,34.16886,34.16886,33.38466,33.19794,33.38466,33.12325,33.01123,33.19794,32.45108,32.67514,32.74982,32.78717,32.71248,32.56311,32.33905,31.89094,32.52577,31.70422,32.07765,32.8992,32.74982,33.34731,32.07765,32.45108,32.48842,31.36813,31.14407,30.92002,30.62127,29.79973,29.72504,29.31427,28.15663,27.74586,27.37243,27.44712,26.28948,26.66291,25.57997,25.87871,24.01156,22.85393,21.69629,22.40581,24.34765,21.92035,20.09054,21.77098,19.75446,20.27726,18.85822,8,27.037201752577317
2008,18.26073,21.39755,19.11962,18.74619,17.99933,22.36847,20.27726,18.74619,17.99933,17.32716,16.72967,16.87904,16.99107,16.8417,16.76701,17.14044,17.14044,17.28982,17.6259,17.81262,19.11962,19.90383,20.68803,21.65895,22.36847,23.86219,24.87045,24.3103,26.88697,27.93258,28.94084,29.53833,30.62127,30.88267,31.06939,31.29345,32.04031,32.26437,32.74982,31.92828,31.77891,32.00296,31.44282,32.48842,32.18968,31.59219,31.33079,31.29345,31.55485,31.66688,31.48016,31.81625,31.62953,31.29345,31.70422,32.00296,31.92828,30.84533,30.92002,30.4719,30.77064,30.39721,30.80799,31.03205,31.2561,31.2561,32.00296,30.84533,32.11499,32.71248,32.97388,32.60045,32.07765,31.81625,31.40548,30.65862,29.61301,28.49272,28.11929,27.67117,28.34335,27.5218,27.7832,26.06542,26.36417,24.87045,23.60079,22.77924,22.62987,25.61731,24.75842,23.0033,24.75842,23.15267,23.89953,21.77098,9,26.416144329896905
