year,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00:00,index,averagemwh
2022,21.031838162,21.301463326,21.418479721,20.163492922,19.578903114,18.408617523,19.033501259,18.443797673,17.519758368,16.602442951,16.031546895,15.441477831,15.107045094,14.663578007,14.587864004,14.397518937,14.355067214,14.246669206,14.370051946,14.479163905,14.918682106,15.042997347,15.134135626,15.765557816,16.443512893,16.818418942,17.156813434,17.66881834,17.443448532,17.948207493,18.302786298,18.758794943,18.844919157,18.905595952,18.736882186,18.614454127,18.423830122,18.312258966,18.432445896,18.28047675,17.634085963,18.130864045,19.559921648,19.90498007,19.215036792,18.224496093,18.499851533,18.949945695,17.535865489,18.406311431,18.30569236,18.738849288,17.838642486,17.161678681,17.585011841,18.993659386,17.959346985,18.94095015,18.675238115,18.799088342,19.218273189,19.028292134,19.79694043,20.583415047,20.255107565,20.60696678,20.804198653,20.863315871,20.787087595,21.482516956,22.173895162,22.391734326,22.356406317,22.294829712,21.914157085,21.387568987,20.988405033,20.578654568,20.084528349,19.663832454,19.80094883,19.742279624,19.731657692,19.547449718,19.427529511,19.270872492,18.88249304,18.470883269,18.391305682,18.839597634,20.558812636,19.922621931,20.295515616,20.506700389,21.302303401,21.211262942,0,18.488218474195875
2022,20.862186394,20.916657989,21.02297901,19.9244907,19.345326357,18.114359911,18.826875168,18.24443149,17.116123223,16.306782066,15.701176543,15.173858532,14.877054342,14.475059027,14.253449076,13.998397925,14.006515596,13.964857638,13.882490586,13.87804136,14.138018891,14.281439265,14.306487291,14.751693221,15.235491774,15.312861516,15.684916814,16.009325241,15.458509601,15.831374625,16.248463029,15.855493314,16.903196943,17.020596795,16.388644564,16.636169664,16.434652914,16.262776733,16.335543605,17.141386403,17.573236053,16.492862406,16.138701515,16.445360259,16.829057024,16.438690383,16.449559545,16.890444849,15.377052834,15.044860752,15.88043312,16.246885012,16.605853242,17.745247916,17.094438604,18.137406046,16.651209801,17.217119036,17.518478094,17.482399012,17.751418273,18.584716956,19.151934118,19.357475831,19.977282803,20.081877273,20.322159869,21.139476504,21.259099149,21.882524322,22.775860416,23.05230849,22.823837233,22.827057698,22.556579532,22.155453587,21.651980303,21.331625368,20.906339485,20.506194728,20.372424091,20.1390865,19.98215051,19.855418789,19.663250932,19.31101002,18.931207229,18.480271079,18.38024373,18.607605261,20.250415159,19.544495774,19.811331406,20.038970782,21.0656399,20.959730101,1,17.75129797773196
2022,20.612376836,20.8717204,20.936848923,19.733753109,19.137184972,17.913619282,18.700886089,18.12609123,17.29130758,16.460522577,15.821698082,15.390555723,15.074904315,14.660657814,14.750647265,14.4560312,14.558117149,14.525156799,14.538524311,15.025220145,15.791574314,16.189823768,17.035705526,17.665663026,18.936809965,19.919399271,20.948846068,22.116414579,22.200240179,22.588375587,23.227218102,23.420200053,23.525310616,23.26622303,23.199174556,22.83843959,22.450785165,22.1856704,21.836218785,21.644058208,21.34619673,21.203902779,21.166721169,20.836357299,20.9090654,20.799049315,20.84294975,21.022659178,20.902236577,21.020186193,21.369877727,21.565046908,21.693687663,21.893952259,22.171104637,22.322585115,22.743126367,23.057458613,23.174248586,23.444378709,23.61617263,23.950076839,24.356953699,24.414077221,24.498088499,24.682317391,24.843969036,24.806648036,24.550033538,25.397456271,25.64343888,25.802571684,25.501847547,25.250954103,24.893810431,24.39605432,23.788385039,23.125761364,22.532929472,22.136566143,22.1439193,21.780110859,21.776416605,21.397621264,21.167195011,20.733797053,20.193818464,19.430303854,19.154204316,19.315517597,20.882768515,20.025917229,20.26534312,20.187000975,20.998800048,20.884733746,2,20.75858088311341
2022,20.313140359,20.609341786,20.75584603,19.494584526,18.810867555,17.693948015,18.419331699,17.890216893,17.022500025,16.208375672,15.539800005,14.944903228,14.719178235,14.580299795,14.413168725,14.397106491,14.371020448,14.402792564,14.531859327,14.987376233,15.566063673,15.901589126,16.610637242,17.285446403,18.617847414,19.498409325,20.418353029,21.737627939,21.862247299,22.371948025,23.28574913,23.439490714,23.773835704,24.00731427,24.518222698,24.893122384,25.22751141,24.979468719,24.680883347,24.618151214,23.491223704,24.206814768,24.18333494,25.338536413,26.079085825,25.796586677,25.504939734,25.410279719,25.542879699,26.131256333,25.107661535,24.587375246,24.819614061,25.858049573,25.86358974,25.721586498,25.616793428,25.648004259,25.489860271,25.604770027,25.664938875,25.562343738,25.218821773,24.949823405,25.116124802,25.561985364,25.849244387,26.223331383,26.144027612,27.075088011,27.486682219,27.666433583,27.366660848,27.189448155,26.883574698,26.706304255,25.949350338,25.218825773,24.783782021,24.404294432,24.40716819,24.113392403,23.955900186,23.641923438,23.165217264,22.520839425,21.843863357,20.799716158,20.635341092,20.846593192,22.332091809,21.366323993,21.245655111,21.247792215,22.068829789,21.973051131,3,22.201923747948452
2022,21.438003372,21.6394592,21.428732755,20.23041115,19.471437277,18.384536062,19.171887396,18.494424047,17.568001554,16.704786964,16.123198011,15.495542629,15.189056327,14.934403159,14.731433975,14.674633514,14.804384774,14.621389887,14.651998593,15.055397269,15.869512947,16.385695537,17.07621925,17.784149432,19.158244257,20.39633504,21.699573529,22.607200672,22.554231809,23.300818559,24.068287753,24.521321942,24.982519399,24.833087542,24.859891468,24.807545747,24.920268351,24.857203019,24.490607318,24.204641794,23.980759494,24.444546903,24.823580967,24.392653781,24.317093,22.788532013,22.760017925,24.604057318,24.163098067,21.334164801,21.985427269,22.31868669,21.867072992,23.030218128,24.376734368,23.359260709,22.459324329,23.593012339,24.717616775,24.897533643,24.419304893,24.201694216,23.90582838,24.125825218,24.205766178,24.379929744,24.581896102,25.24240215,25.367781715,25.848486853,26.340605672,26.539593328,26.428058942,26.239245419,25.986856459,25.538724175,24.862020142,24.345317012,24.072788673,23.585810815,23.757608444,23.388000769,23.107087884,22.45209636,22.017793751,21.61826673,21.021673885,20.29295339,20.113348461,20.489601233,21.939559203,20.986707638,21.076494817,21.203429533,21.992467335,21.822196291,4,21.751557593824746
2022,21.33101099,21.464740289,21.317198121,20.090916291,19.397267768,18.245926223,18.901578533,18.324090232,17.484241815,16.622280346,15.920264798,15.352679132,15.288384246,15.006072916,14.664632185,14.553914756,14.809194185,14.456430387,14.604994013,15.103513252,15.684379025,16.2240205,16.850685406,17.499498305,18.47133533,19.730995926,21.340804138,22.561484752,22.151408439,22.618032464,23.722375284,24.661732236,26.060221951,26.147419056,26.422117143,26.684843718,25.1223936,25.631515765,25.758305471,25.569962491,26.209297534,25.556684458,25.14343168,24.941233769,25.143932007,24.71995387,25.621516164,25.521993299,25.130506447,24.813260879,25.316192533,24.929916203,24.411843769,23.926679121,24.057424009,25.386275229,25.352835475,24.812892612,24.070369659,24.567612945,24.397668109,24.535437082,24.730042902,24.787734014,24.577068174,24.957000191,25.183972919,25.687976408,24.980919976,25.632747357,26.296066572,26.40045156,25.992542023,25.800343701,25.513384323,25.016545241,24.256805145,23.64097927,23.143384361,22.791978267,22.699278774,22.487966711,22.288366511,22.112619657,21.799501356,21.255422313,20.749091126,20.089440786,19.947052105,20.045065565,21.657429107,20.741918214,20.936369297,20.989412343,21.649139747,21.612551644,5,22.019282329804124
2022,21.298441121,21.44788572,21.477251495,20.221204863,19.303287681,17.973208561,18.88392662,18.355738003,17.538134965,16.745753774,16.010015809,15.430712433,15.064133671,14.80389478,14.661306453,14.723170524,14.704487215,14.613025006,14.65785671,14.945576409,15.601349335,16.040014238,16.768051339,17.047347817,18.014517982,19.111638659,20.131876377,20.992846958,21.225105954,21.870994014,22.83871392,23.60175467,24.119697823,24.47135484,24.498546126,24.077194642,23.821974646,24.008428405,23.911863299,24.691042655,24.196709357,23.155429712,22.875878962,22.630179105,22.593691828,22.822099301,22.987599172,22.626093446,22.868459662,25.226823326,24.318374384,24.474108257,25.297265675,25.109435505,24.306735725,23.998836302,23.912158456,22.421621708,23.064705839,24.430635772,24.386272395,24.638298056,24.502811226,24.222170405,23.879288098,24.297144324,24.436365014,24.440489451,23.745572148,24.298881068,24.598334745,24.734714555,24.391086683,24.279038818,23.93741942,23.704643827,22.963474101,22.407507589,21.976588922,21.428480361,21.568443997,21.476123682,21.258141927,20.720601037,20.597319647,20.184418149,19.871993676,19.405981064,19.38585308,19.563460416,21.081742779,20.177993861,20.218119424,20.461494498,21.531533579,21.271578383,6,21.186222138257737
2022,20.564066697,20.771867306,20.897218083,19.633213756,18.935689757,17.75989563,18.434963718,17.795353618,16.790334173,15.806231814,15.194557493,14.834761225,14.415253607,14.349522412,13.975953257,13.908354979,13.908076993,13.780893524,13.674827015,13.794295212,14.025208834,14.066409071,14.415006938,15.007371625,15.72169434,16.060859641,16.410967494,17.027552137,16.667213948,16.965134135,17.524853436,17.837215277,18.169057408,18.329437368,18.339574789,18.197965761,18.273652211,18.180729904,17.939516019,17.784157328,17.632176045,17.534745886,18.558135556,19.689044073,18.145953296,16.610509056,17.996612993,17.158428168,19.210065242,19.979722116,18.10261685,17.099863372,17.494905139,17.69018777,17.359940139,17.391803541,18.903826884,19.403615454,19.558552685,18.651714669,19.590052782,19.567292574,19.803227217,19.846783572,20.399329784,20.85009076,21.180606224,21.507478565,21.341433825,21.776011746,22.241887254,22.385236035,22.338634727,22.17318055,21.783491307,21.587934395,21.185909679,20.769311696,20.217661213,19.783812869,19.834721114,19.755703129,19.713766624,19.451220794,19.415927893,19.105633649,18.734441001,18.241300426,18.215672579,18.619138107,20.375211751,19.831472274,20.109118667,20.27083365,21.128948525,21.084765562,7,18.26349040604124
2022,20.515598069,20.806302132,20.96743385,19.617011154,18.884352524,17.654555829,18.408827327,17.845845871,16.849759227,15.904881485,15.316336472,14.794466978,14.549191425,14.228552422,13.944543632,13.788127428,13.630576273,13.498297458,13.582523185,13.594489767,13.784231154,14.011948392,13.962320721,14.263275228,14.882486865,15.081114147,15.597476964,15.853514502,15.77182899,16.165744441,16.602964592,16.4077064,16.679875171,17.509216501,17.981938492,18.356254648,19.16060258,19.08297453,18.770150264,19.020327494,18.948263871,18.213863831,19.22840193,19.503569001,19.412266867,18.260461745,18.815516239,19.186404922,19.325590714,18.745756635,18.388029908,19.173212693,19.276659955,19.415085936,19.349964914,19.505749151,19.237366976,19.05198028,18.769136833,18.946298718,18.833497048,19.20011115,19.678791691,20.137342502,20.226126854,20.556064832,21.254664052,21.773210639,21.647332864,22.344494478,23.033361469,23.323311081,23.315711296,23.283236418,23.069611952,22.785607396,22.380556328,21.923631067,21.403421859,21.064792101,21.127564209,21.04651106,20.979172653,20.723807906,20.622829263,20.310522583,19.785178949,19.162917008,19.116017593,19.209663489,20.749858689,20.107982486,20.259677097,20.582898702,21.514190479,21.533607028,8,18.5994688863299
2022,20.985717769,21.20531035,21.174629912,19.987512062,19.378733625,18.151078953,18.85339306,18.383795039,17.291488423,16.47149057,15.822429791,15.365614233,15.006351039,14.730873543,14.552526924,14.435638713,14.200435456,14.241596463,14.531827171,15.083914451,15.813251826,15.982072661,16.768021846,17.331132569,18.695671773,19.63391986,20.733366399,22.028784726,22.03807399,22.511699455,23.225021029,23.579560789,23.77623775,23.372054925,23.286881043,22.955912899,22.895613697,22.376886994,21.834914263,21.719813462,21.508306074,21.235144796,21.064250215,20.658739753,20.934783789,20.500305101,20.465261992,20.7312248,20.65431434,20.9525455,21.165159229,21.347490603,21.638244022,21.519020652,21.796464468,21.820396564,23.090316936,22.376318479,22.78316703,23.507924322,23.716292484,23.75540922,23.973000196,24.09133932,24.298358725,24.50035546,24.589819207,24.80858486,24.43187684,25.261093199,25.504678611,25.822138969,25.569531353,25.217473847,24.726545624,24.510748422,23.918431288,23.219229028,22.749007967,22.300758245,22.501921595,22.354538314,22.06934847,21.728349194,21.418223828,20.913459435,20.317252262,19.581286555,19.450164579,19.512323638,21.171897129,20.458427779,20.518708695,20.509736439,21.362122237,21.204815339,9,20.837112129082477
