year,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00,averagemwh
2023,16.34614,15.98959,16.05185,15.27495,14.59481,13.64549,13.9568,13.45505,12.80824,12.18286,11.81028,11.35435,11.73822,11.65927,11.35182,11.16284,10.71607,10.39548,10.46424,10.44902,10.60674,10.68375,10.70439,10.96645,11.1899,11.51581,11.75143,12.03185,12.26744,12.01321,12.12092,11.80041,10.56102,10.34816,9.50976,8.98184,8.38272,8.42035,8.01524,7.7152,7.55977,6.98102,6.28167,5.79903,6.21315,6.63165,7.77172,7.01085,5.94781,5.25605,5.59323,5.82564,6.9535,9.5046,9.54148,7.43188,7.23697,7.53602,8.28365,8.8583,10.1106,11.35083,12.20433,12.897,13.4265,13.93982,15.13681,16.029,16.79561,17.88501,18.73713,19.13401,19.4045,19.11731,18.98927,18.42333,18.55395,18.48547,17.98101,17.51756,16.81529,16.44283,16.04809,15.70685,15.27935,14.90598,15.005,14.43708,14.08812,14.02023,13.913,13.74971,14.12021,14.29469,14.63097,14.40399,12.199920729166664
2023,13.82498,13.81031,13.60634,13.25451,13.0016,12.51431,12.1582,11.71636,11.47054,11.38395,11.19428,10.93535,11.32869,11.49447,11.4415,11.43935,11.00598,10.97904,11.32038,11.69431,12.31665,12.75033,13.27158,13.76206,14.70932,15.54403,16.25255,16.99713,17.5174,18.21103,18.27837,18.35106,17.46614,15.71962,15.11616,15.76536,15.92658,16.52062,16.58628,15.98076,14.59809,13.96311,12.96049,11.77611,11.8995,13.87934,15.62103,16.30795,16.02345,14.0378,12.67985,13.16972,13.64411,13.4592,13.21677,12.45443,11.49343,11.66654,12.5223,13.45213,13.13225,13.7553,14.81452,15.60208,16.2926,16.51071,17.20618,18.046,18.47899,19.31522,20.21847,20.74819,20.87364,20.16258,19.45727,18.97074,18.51752,18.1701,17.95789,17.73386,17.52489,17.25022,17.01109,16.57593,16.37689,15.94749,15.69374,15.04808,14.81315,15.03619,15.57035,15.21699,15.53255,15.7215,16.18358,16.15193,14.969390729166662
2023,15.96196,16.24829,16.30371,15.70478,15.2654,14.47994,14.64625,13.98344,13.12793,12.60929,12.32651,11.95936,11.68273,11.38423,11.08736,11.01141,10.89358,10.88229,11.12525,11.28987,11.88536,12.31222,13.07911,13.49705,14.39777,15.50246,15.88339,16.37267,15.95566,15.86215,15.54437,14.93975,14.30057,13.61608,12.62308,11.52732,10.75702,10.24602,9.95638,9.71491,9.58809,9.28786,9.48189,9.60033,9.37526,9.16203,8.95815,9.1542,9.15441,8.92859,8.77276,9.07321,9.39588,10.08425,10.68888,10.5949,10.90781,11.21884,11.38139,11.46155,12.18535,12.37276,13.00178,13.83321,14.5806,15.56792,16.29169,17.08065,17.5191,18.60887,19.59936,19.78538,19.93419,19.76134,19.40166,19.182,18.76452,18.60059,18.12021,17.69548,17.64739,17.03476,16.87033,16.46412,16.44883,16.05613,15.97285,15.12695,14.68826,14.84172,15.5486,15.06175,15.11363,15.22872,15.43638,15.29827,13.759818229166676
2023,15.09789,15.20155,15.14718,14.36928,13.67041,12.56162,12.71911,12.65128,11.95952,11.40729,11.05383,10.61905,10.43747,10.45265,10.15262,10.04692,10.0372,10.07336,10.48399,10.70666,11.39013,12.1852,12.59803,13.08055,14.20736,14.89095,15.64894,16.02893,15.46592,15.50139,15.18311,14.8233,14.34272,13.64571,12.85574,12.01094,11.37269,10.80665,10.3778,9.97635,9.83858,9.55833,9.46414,9.27879,9.07584,8.9546,9.00102,8.85601,8.93486,8.97749,9.04177,9.02843,9.67014,9.90115,10.11802,10.32047,10.51941,11.21724,11.38506,11.88692,12.482,13.16328,13.99927,14.6052,15.1427,15.9303,16.72448,17.2782,17.53304,18.54237,19.11755,19.46647,19.42947,19.2873,19.17365,18.7874,18.23016,17.84977,17.61153,17.06366,17.04954,16.82844,16.37142,16.18194,15.9705,15.60729,15.38036,14.68251,14.34728,14.38287,14.8902,14.44855,14.46725,14.55629,15.20283,15.1583,13.408468020833327
2023,14.71543,14.86316,14.87085,14.09741,13.44203,12.52311,12.82373,12.257,11.79171,11.13397,10.75327,10.43945,10.19198,10.18018,10.17371,10.06401,10.07219,10.09726,10.35563,10.66829,11.20842,11.51634,12.02387,12.55655,13.67535,14.58038,15.02971,15.67917,15.90299,16.55938,17.30042,17.62367,17.5372,17.53058,17.65521,16.99002,17.16132,16.63677,16.11852,14.93862,15.73647,15.57773,14.35266,12.46531,11.53353,10.05035,9.27971,9.03978,9.33205,9.85329,10.53402,11.56327,14.3421,13.60698,14.33718,12.84423,11.64776,12.40676,14.62826,15.74629,16.00386,17.34641,17.55588,17.34306,16.29271,15.3997,16.18343,17.09439,17.40039,18.15285,19.12194,19.25635,19.19089,19.26507,19.12372,18.73732,18.45341,18.24461,17.89711,17.29913,17.12213,17.01548,16.68299,16.45489,16.14692,16.05577,15.76385,15.2363,14.981,15.04229,15.648,15.01707,14.96818,14.99277,15.36698,15.30076,14.580981250000006
2023,14.92261,15.20214,15.27658,14.55101,13.68422,13.0194,13.13529,12.53245,11.84688,11.39155,11.12154,10.55217,10.40426,10.33699,10.25716,10.13378,10.10852,10.12263,10.32375,10.79484,11.2919,11.94928,12.80966,13.28782,14.54437,15.46193,16.2221,16.81845,16.0872,16.06716,15.88567,15.29691,14.40665,13.66355,12.89038,12.18928,11.17621,10.6061,10.09489,9.84224,9.23633,8.59232,8.37066,8.1621,8.2547,8.05661,8.03222,7.704,7.71262,7.52786,7.64161,7.51915,7.42396,7.72022,8.11762,8.31209,8.38151,8.66649,8.92179,9.54793,10.22673,11.23592,12.12047,12.90342,13.80484,14.5732,15.37507,16.31794,16.59335,17.72305,18.68235,19.11753,19.25652,19.14914,19.05965,19.07317,18.89058,18.6724,18.5449,18.13353,18.10815,17.88279,17.85388,17.72894,17.51997,16.94122,16.66173,16.09176,15.77443,15.65383,16.37101,15.9593,16.11546,16.09303,16.43308,16.25737,13.240739791666668
2023,15.87328,16.07391,16.19629,15.2816,14.5592,13.69664,13.91641,13.49569,12.82883,12.15482,11.79339,11.40865,11.12513,11.08165,10.88925,10.91212,10.77024,10.62413,10.87565,11.0426,11.40165,11.77895,12.03389,12.40477,12.96019,13.58492,14.18299,14.73894,14.32502,14.35121,14.00409,13.6442,13.21627,12.67972,11.61432,10.61633,9.7735,8.90926,8.67391,7.31728,8.24809,7.63178,8.02426,8.3066,6.06731,6.50148,6.49481,6.07262,4.93633,4.34151,4.03416,4.43289,5.28353,5.49912,4.38814,5.03706,5.17153,5.45827,6.39123,6.97487,7.80357,8.88129,9.96713,11.05251,12.6924,13.53098,14.76561,15.69861,16.5783,17.67842,18.62662,19.14622,19.14851,19.20954,18.96835,18.89617,18.79466,18.71706,18.39089,18.2293,18.30217,18.36732,18.13618,17.80231,17.55357,17.33227,16.92294,16.30582,16.04704,16.12445,16.86643,16.39405,16.7175,16.66394,17.10134,16.83984,12.566247812500002
2023,16.53206,16.72365,16.66268,15.8022,15.20014,14.39798,14.44246,13.89994,13.19664,12.5261,12.12221,11.67637,11.40488,11.14774,10.94385,10.74188,10.71339,10.67351,10.63875,10.69322,10.96207,11.08499,11.36631,11.62475,12.25635,12.75914,13.36131,13.8707,13.82142,13.99712,14.04938,13.56779,13.34397,12.69352,12.08728,11.24325,10.38197,9.50269,8.84155,7.6859,6.95652,6.42856,5.79915,5.24936,4.77084,4.51625,4.23762,3.90468,3.86818,3.87744,3.95333,3.91112,4.04027,4.29503,4.4895,4.54214,4.99878,5.49225,6.03943,6.8551,7.72817,8.63614,9.74236,10.86847,12.15063,13.277,14.52853,15.6783,16.50655,17.73957,18.77388,19.41788,19.61786,19.66184,19.57203,19.48368,19.2542,19.17803,18.86656,18.69931,18.77631,18.47869,18.2109,17.65821,17.38044,16.9761,16.77915,15.95962,15.51813,15.39962,16.13496,15.5571,15.65937,15.65017,16.14961,16.08265,12.318944583333334
2023,16.02864,16.23635,16.291,15.52743,14.86575,13.9914,14.3605,13.80166,13.04549,12.47561,12.12136,11.66126,11.48822,11.26462,11.1566,10.98317,10.94225,11.06062,11.31887,11.60856,12.35888,13.03428,13.8076,14.51464,16.13058,17.34941,18.27386,19.18537,19.09706,18.94549,18.96605,18.98894,19.55119,19.81688,18.05113,16.63918,16.49443,17.15785,17.0952,16.39349,14.93276,13.40457,11.06486,11.70331,10.3526,12.1647,13.19456,14.68276,13.79852,11.43743,11.04242,11.30485,13.39183,14.66461,14.59563,15.44292,14.90673,14.01041,14.84833,15.48234,15.45148,15.84211,16.97384,17.79818,17.69685,18.35726,18.84682,19.67836,20.45135,21.54248,22.37574,22.48312,22.44059,22.28852,21.95802,21.42256,21.09064,20.8532,20.33515,19.90069,19.52308,19.2443,18.88842,18.39105,17.90026,17.55708,17.26341,16.56718,15.98413,15.85191,16.31282,15.77724,15.75777,15.86696,16.24321,16.26192,16.038382395833334
2023,15.951,16.12214,16.28744,15.45677,14.9387,14.01585,14.08704,13.63102,12.90171,12.37663,11.83543,11.44819,11.3353,11.21173,11.03299,11.02173,10.8849,11.04301,11.34629,11.53987,12.28528,12.91886,13.77815,14.22208,15.53659,16.3627,17.19628,17.83521,17.98519,18.88746,19.78466,19.97138,19.24031,18.28511,15.55797,15.68474,13.66035,12.8918,15.73702,13.2633,11.63372,11.85081,14.92812,12.91064,12.73174,11.5488,14.67915,15.16164,13.63187,10.69149,10.76395,14.71247,14.67845,14.90471,15.702,13.76914,12.28253,15.77836,16.32343,17.01048,17.78621,17.9133,18.30778,18.80155,18.76343,18.86556,18.86684,19.61069,20.49607,21.60186,22.43239,22.61952,22.60531,22.35049,21.69592,21.24357,20.79565,20.58734,20.16622,19.66518,19.33917,18.86424,18.55816,17.85433,17.62209,17.09492,16.71541,16.05712,15.67506,15.50701,16.19686,15.72195,15.67864,15.68122,16.01581,15.83258,15.925365937500004
