year,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00,averagemwh
2006,31.79643,30.74473,30.02607,29.97349,29.85079,29.34246,28.81661,28.29076,28.23818,27.74738,27.4494,27.22153,27.08131,26.66063,26.90602,26.32759,26.60804,27.01119,26.29253,26.55546,26.74827,27.27412,27.39682,27.13389,27.97525,27.71233,27.85255,28.34335,29.43011,29.39505,29.97349,31.32317,32.65532,33.42657,34.58344,35.37222,36.80954,37.33539,38.17676,38.80778,39.75431,40.31521,40.47297,41.12152,41.31433,41.43703,41.47209,42.38356,42.31345,42.22581,42.4712,42.22581,41.69995,41.31433,40.96376,40.17499,40.94624,40.99882,40.70084,40.47297,40.80601,40.31521,40.43791,40.64825,40.43791,40.22757,40.1224,40.47297,40.64825,41.94535,42.43615,42.8393,42.27839,42.54132,41.5422,40.91118,40.4905,39.89453,39.54397,39.21093,38.91295,38.52732,38.2644,37.2127,37.17764,36.79202,36.05582,35.65267,34.39063,34.16276,33.4441,33.26882,32.97083,32.18206,31.81396,31.76138,35.37276635416667
2006,30.48181,29.71056,29.97349,29.97349,29.60539,29.1146,28.81661,28.65886,28.37841,28.48358,27.48446,27.37929,27.64221,27.50199,27.71233,27.27412,27.37929,27.60716,27.53704,28.44852,29.65798,30.65709,31.79643,34.07512,36.47651,38.49227,40.70084,42.52379,46.83576,49.14951,50.30638,52.1118,53.51407,54.4606,56.14332,57.56312,58.08897,58.14155,58.7901,59.14067,60.13978,60.56046,60.68316,60.52541,61.1389,61.19148,60.92856,62.1906,60.92856,61.05126,61.41935,61.82251,62.83915,63.03196,62.41847,62.20813,62.5587,62.03285,61.89262,62.66387,61.47194,61.19148,60.35012,60.19237,58.94786,58.14155,57.2476,56.72175,56.30107,56.84445,55.52983,53.93475,52.98821,51.37561,50.88481,49.74547,47.79982,47.36161,47.11622,45.78406,44.73236,43.94358,43.10222,42.12064,40.89365,40.54308,39.70172,39.0707,37.73855,37.52821,36.33628,35.37222,34.42569,34.12771,33.076,32.2697,46.30133083333334
2006,32.28723,31.86655,31.23553,30.53439,30.79732,30.06113,29.97349,29.02695,29.37752,29.16718,28.16807,28.58875,28.16807,27.74738,28.43099,28.0629,28.69392,28.90426,28.85167,29.53528,30.27147,31.00766,32.12947,34.33805,37.2127,37.94889,40.70084,43.38268,47.01105,48.95669,50.84976,52.53248,54.47812,54.98645,56.72175,57.45794,58.71999,59.56135,59.78922,60.03461,61.62969,61.68228,62.50611,62.5587,63.18972,62.3133,62.76904,64.99514,64.13625,64.08366,64.24142,64.13625,64.99514,64.25895,65.29312,64.83738,63.89085,64.08366,64.24142,63.68051,64.20636,62.5587,62.3133,61.87509,60.78833,60.29754,59.00044,58.31683,57.52806,58.21166,56.84445,55.00398,54.35543,53.0408,52.63765,51.63853,49.95581,48.93916,48.11533,46.69554,45.67889,44.41685,43.43526,42.69907,41.7876,41.31433,41.15658,40.1224,38.79025,37.84372,36.8446,35.86301,34.53086,34.18029,33.33893,32.49757,47.47828687500001
2006,31.84902,31.06024,29.7982,29.69303,30.1663,29.69303,28.60627,28.44852,28.53616,27.60716,27.60716,27.34423,27.37929,27.29165,27.27412,27.55457,27.22153,28.02784,27.74738,28.76403,29.32494,30.49934,31.60362,34.00501,36.89719,37.75607,40.22757,43.47032,47.30903,48.95669,49.67536,51.77876,54.56577,54.95139,56.09073,57.19502,57.87863,58.63234,59.35101,59.21078,60.56046,60.92856,62.47105,62.50611,62.13802,62.45353,63.15466,63.57534,64.08366,64.18883,64.04861,64.39917,65.29312,64.62704,64.94255,64.92502,64.36412,64.18883,64.52187,63.2423,62.92679,62.05037,61.36677,60.99867,60.73575,59.50876,59.05303,58.36942,57.51053,56.84445,55.93298,54.56577,53.53159,52.1118,51.42819,50.37649,48.51848,47.90499,47.06363,46.06451,45.46855,44.22404,43.06717,42.75166,41.75254,40.63072,39.80689,38.79025,38.00147,37.2127,36.26616,35.63514,34.58344,34.33805,33.3214,32.2697,46.944218750000026
2006,31.70879,31.07777,30.53439,30.06113,29.81573,29.74562,29.39505,29.64045,28.95684,28.79909,28.08042,27.87008,27.65974,27.8175,27.53704,27.39682,27.55457,27.85255,27.8175,28.58875,30.27147,30.63956,32.11194,34.42569,37.38798,38.12417,40.80601,42.962,46.85329,49.25468,50.46413,52.25202,54.37295,54.84622,55.72264,56.63411,58.24672,59.08808,60.31507,61.76992,62.26071,61.55958,62.34836,62.45353,62.76904,62.73398,63.57534,63.55781,64.10119,64.45176,64.34659,64.7848,65.20548,65.57357,64.67963,63.99602,64.87244,64.67963,63.97849,63.97849,63.55781,63.34747,63.15466,62.52364,61.84003,60.78833,59.61393,58.29931,57.89615,57.66829,57.15996,56.37119,53.93475,53.56665,53.05833,52.14685,50.67447,49.6403,49.5176,48.27309,47.15127,46.85329,46.1171,44.85506,43.27751,42.33098,41.05141,39.96465,39.3161,38.36957,37.07247,35.60009,35.02165,34.44322,33.79467,33.11106,47.62216489583332
2006,32.65532,31.79643,31.3407,30.79732,30.53439,29.95596,29.7982,29.44764,29.95596,29.23729,29.16718,28.29076,28.44852,27.85255,27.55457,27.64221,27.74738,27.95772,28.79909,29.21977,29.7982,31.06024,32.48004,34.53086,36.89719,37.94889,39.80689,42.43615,46.46767,48.67624,50.27132,51.621,54.0925,54.98645,56.24849,57.52806,58.84268,58.45706,59.14067,60.61305,60.35012,61.76992,62.1906,62.78656,62.36588,63.71557,64.15378,64.36412,64.34659,64.4167,64.13625,64.20636,64.03108,64.13625,64.46929,65.04772,64.45176,63.57534,63.08455,63.55781,62.3133,62.10296,60.73575,60.35012,59.19325,58.7901,58.57976,57.26513,56.87951,57.19502,56.40624,54.63588,53.14597,52.21697,51.14774,49.79805,47.58948,46.69554,45.59125,44.90764,43.27751,42.80424,41.57726,41.89277,40.91118,40.70084,39.75431,39.47385,38.17676,36.79202,36.38886,35.7929,35.65267,34.60097,34.16276,33.05848,46.99808229166669
2006,32.05936,31.69126,30.74473,30.23641,29.97349,29.58786,29.07954,28.64133,28.71144,28.69392,28.32582,28.01031,27.58963,27.13389,27.18648,27.29165,26.74827,27.23906,27.4494,27.6948,28.44852,28.76403,29.1146,30.1663,30.90249,31.37575,31.63868,32.79555,34.12771,34.89895,36.38886,36.89719,38.63249,39.12329,40.28016,41.73501,42.01546,42.90941,43.99617,44.67977,45.32832,44.67977,45.48608,45.67889,45.20563,45.15304,45.43349,44.6973,45.38091,45.36338,45.01281,44.36426,44.43438,44.25909,44.48696,43.99617,43.94358,43.33009,43.25998,43.04964,42.41862,42.73413,42.01546,42.38356,42.06805,42.17322,42.80424,42.8393,43.62807,44.11887,44.06628,43.69819,42.69907,42.78671,41.59478,41.36692,40.7359,39.4388,39.05317,38.65002,37.38798,37.6509,36.58168,36.49403,35.89807,35.60009,34.75873,34.75873,34.02254,33.74208,33.86478,33.23376,33.00589,32.28723,31.97172,31.32317,37.28518281249999
2006,31.23553,30.79732,30.00854,29.60539,29.28988,28.79909,28.16807,27.85255,27.4494,26.95861,27.06378,27.48446,26.69568,26.6431,26.11725,26.60804,26.29253,26.45029,26.275,26.08219,26.55546,26.66063,26.90602,27.13389,27.76491,27.39682,27.37929,27.95772,28.95684,29.23729,30.02607,31.28811,32.32229,32.65532,34.02254,34.63603,35.38975,36.02077,37.49315,38.47474,39.0707,38.89542,39.78936,40.17499,40.28016,40.28016,40.28016,40.7359,40.4905,40.91118,40.21004,40.17499,40.33274,39.9997,40.3678,39.91206,39.89453,39.80689,39.54397,39.73678,39.10576,39.17587,39.21093,39.36868,39.01812,39.10576,39.10576,39.15834,39.54397,41.06893,41.69995,41.59478,41.05141,40.91118,40.54308,40.05229,39.38621,39.4388,39.26351,38.05406,38.019,37.54573,37.42304,37.8963,36.9673,36.37133,36.12594,34.75873,33.96995,33.84725,32.91825,32.58521,31.76138,31.18294,30.90249,30.00854,34.61649104166667
2006,30.34158,29.7982,29.37752,29.13212,29.06201,27.97525,27.85255,27.97525,27.79997,27.76491,27.76491,27.64221,27.58963,26.81838,26.81838,26.80085,26.97614,27.37929,27.18648,27.85255,28.79909,30.23641,31.42834,33.47916,36.49403,37.47562,40.10487,42.27839,46.06451,48.67624,49.93828,51.69112,53.05833,53.8471,54.40801,55.47724,56.52894,56.79187,57.72087,58.68493,58.98291,59.73663,60.15731,60.8935,62.10296,62.78656,62.9969,62.83915,63.52276,63.97849,63.15466,63.76815,64.50434,64.03108,64.57446,64.20636,64.08366,64.10119,63.7331,64.31153,63.99602,63.10208,61.98026,61.45441,60.15731,59.63146,58.84268,58.45706,57.31772,58.15908,57.00221,55.09162,53.72441,52.95316,52.63765,51.30549,49.72794,48.36073,47.72971,46.15216,45.36338,44.48696,44.04875,43.31256,42.41862,41.31433,40.78848,39.73678,38.52732,37.75607,36.54662,35.89807,34.58344,33.75961,33.076,32.28723,46.700464687500016
2006,31.81396,31.16541,30.39417,29.71056,29.43011,28.53616,28.23818,28.64133,28.0629,27.79997,27.79997,27.50199,27.02872,27.48446,27.01119,26.74827,27.02872,27.85255,27.85255,28.60627,29.64045,31.00766,31.63868,34.21535,37.05494,38.05406,41.1741,44.41685,47.67712,49.2722,50.72706,52.56753,53.89969,55.03903,56.564,56.1959,57.14243,58.56223,58.422,60.2099,61.10384,61.1389,61.92768,62.40094,63.18972,63.41759,63.365,63.68051,63.76815,64.25895,65.10031,65.31065,65.73133,65.50346,66.57269,66.44999,66.02931,66.0819,65.15289,65.8365,64.71468,64.24142,63.89085,63.365,62.73398,61.68228,61.05126,59.47371,59.19325,59.40359,58.26425,56.61658,54.68847,53.4089,52.69023,51.77876,50.35896,49.06186,48.62365,47.30903,45.94182,45.3108,44.96023,43.57549,42.57637,41.33186,41.15658,39.94712,39.05317,38.10664,36.89719,35.75784,34.58344,34.18029,33.6895,32.79555,47.61066177083333
