year,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00,index,averagemwh
2018,24.70542,23.7414,23.19323,23.17432,23.17432,22.9853,22.51274,21.92677,21.68104,21.3786,21.69994,21.69994,21.28409,20.5847,20.6036,21.03836,21.03836,21.03836,21.03836,21.03836,21.79445,22.51274,22.81518,23.57127,25.59383,26.99261,27.80541,30.65967,33.85417,35.32856,36.97307,37.80477,38.8444,39.35477,39.56269,39.84623,40.84806,41.13159,41.58525,41.84988,42.51147,42.49256,43.19195,43.26756,43.68341,43.62671,43.30537,43.85353,44.26939,44.62853,44.53402,44.77975,44.62853,45.1767,44.26939,43.30537,43.49439,42.92732,42.98403,43.5889,43.36207,41.75537,40.75354,40.4322,39.80842,39.56269,38.50416,38.90111,39.29806,39.84623,40.09196,40.54562,39.52489,39.35477,39.54379,39.35477,38.90111,38.56087,37.69136,36.95416,36.17917,35.61209,35.57429,35.42307,34.34563,33.74076,33.34381,32.41759,31.54808,30.71638,30.1115,28.86394,27.7676,27.42736,26.74688,26.08529,0,33.82922969072165
2018,25.12127,24.42188,24.42188,24.32737,23.7603,23.34445,22.60725,21.81335,21.81335,21.81335,21.81335,21.81335,21.30299,21.34079,21.43531,21.43531,20.86823,20.86823,20.86823,20.94384,21.81335,22.1725,22.90969,23.85481,25.74505,26.87919,27.95663,28.92065,31.85052,33.38161,34.36454,35.29075,36.25478,36.80294,37.16209,37.57794,38.54196,38.8066,39.41147,39.67611,40.54562,40.69684,40.56452,41.03708,41.56635,41.67976,41.73647,41.84988,41.94439,42.07671,42.17122,42.54927,42.32244,42.39805,41.52854,41.15049,40.47001,40.12976,39.67611,39.77062,40.3755,39.69501,39.29806,39.27916,39.07123,38.25843,38.29623,38.59867,38.71209,39.33586,39.6383,39.69501,39.16574,39.09013,38.69318,38.63648,38.12611,37.89928,37.40782,36.78404,35.91453,35.59319,35.91453,35.15844,34.17551,33.74076,33.17369,32.87125,31.6993,30.56516,29.54443,28.44809,27.692,27.42736,26.84139,25.85846,1,32.91799804123713
2018,25.55603,24.61091,24.06274,23.7981,23.7981,23.26884,22.49384,22.38042,22.38042,21.83226,21.77555,21.77555,21.77555,21.4164,21.24628,21.24628,21.09506,21.09506,21.09506,21.09506,21.79445,22.13469,22.72067,23.55237,25.31029,26.69017,27.7676,28.92065,31.54808,33.15478,34.61027,35.78222,37.10538,37.40782,38.08831,38.18282,39.41147,39.03343,39.18465,39.90294,40.35659,40.4322,40.4133,40.50781,40.81025,40.60232,40.4322,40.88586,40.58342,40.75354,40.81025,40.58342,40.4322,40.35659,39.67611,39.46818,39.01452,39.05233,38.93891,38.90111,38.99562,38.90111,38.8255,38.73099,38.31514,38.08831,38.0316,38.18282,38.7877,39.26026,39.69501,39.71391,39.10904,39.20355,39.33586,39.10904,38.74989,38.14501,36.82185,36.72734,36.72734,36.50051,36.10356,35.82002,34.91271,34.38344,33.70295,32.94686,31.94503,31.20784,30.41394,28.88285,27.7676,27.7676,27.40846,26.142,2,32.788391134020614
2018,25.59383,24.74322,24.61091,24.15725,24.04383,23.59018,23.24993,22.49384,22.49384,22.38042,22.05908,22.05908,22.02128,21.49201,21.49201,21.49201,21.47311,21.47311,21.56762,21.81335,21.79445,22.47494,23.59018,24.51639,26.36883,27.44626,28.44809,29.62004,32.41759,33.47613,34.51576,35.25295,36.02795,36.76514,37.38892,37.57794,38.23953,38.52306,40.56452,40.69684,40.48891,41.1883,41.15049,40.88586,41.32062,41.15049,41.1694,41.13159,40.82915,40.65903,41.05598,41.11269,40.52671,40.47001,40.28098,40.45111,39.95964,39.44928,39.35477,39.54379,39.84623,39.44928,39.03343,39.05233,38.86331,38.69318,38.61757,39.39257,39.39257,39.90294,40.24318,40.3944,39.80842,38.93891,38.93891,38.88221,37.88038,37.35111,37.31331,36.95416,36.93526,36.27368,36.50051,35.87673,35.57429,34.66698,33.60844,32.94686,31.88832,30.98101,30.1115,29.3365,28.16455,27.23834,26.917,26.33102,3,33.06684134020618
2018,25.25359,24.76213,24.08164,23.59018,23.47676,23.21213,22.68286,22.28591,22.04018,22.04018,21.83226,21.58652,21.58652,21.43531,21.45421,21.43531,21.18957,21.18957,21.18957,21.11396,21.96457,22.39933,23.02311,23.87371,25.51822,27.04931,27.95663,29.3365,32.17186,33.00357,34.49685,35.59319,36.76514,37.35111,37.40782,37.65355,38.74989,38.88221,38.99562,39.10904,39.29806,40.24318,40.64013,40.77245,40.99927,40.98037,41.30171,41.41513,41.58525,41.69866,41.90659,41.77427,41.84988,41.66086,40.96147,40.26208,40.24318,40.4133,40.22428,40.18647,40.4133,40.12976,39.6194,39.10904,38.8255,38.76879,38.25843,38.22062,38.52306,39.20355,39.6383,39.69501,38.63648,38.22062,38.14501,37.82367,37.16209,36.65173,36.12246,35.32856,34.55356,34.76149,34.51576,33.83527,32.73893,32.70113,32.41759,32.07735,31.39686,30.26272,29.46882,28.84504,28.41029,28.01334,27.29504,26.74688,4,32.7597075257732
2018,25.61273,24.93225,24.5542,24.36518,24.13835,23.55237,23.13652,22.39933,22.39933,22.39933,22.00238,21.92677,21.66213,21.03836,21.03836,20.96275,20.96275,20.96275,20.47128,20.45238,20.94384,21.03836,21.03836,21.62433,21.96457,22.13469,22.26701,22.58835,23.81701,24.40298,24.85664,25.68834,26.59566,26.917,27.55968,28.86394,30.05479,30.65967,31.24564,31.51028,32.41759,33.04137,33.58954,33.75966,33.94868,34.00539,34.40234,34.59137,34.93161,34.38344,34.62917,34.47795,34.38344,34.47795,33.92978,33.57064,33.2871,33.2493,33.32491,33.41942,33.58954,33.32491,33.43832,33.06027,33.04137,33.2871,33.04137,33.00357,33.94868,35.87673,36.99197,37.57794,37.50233,37.31331,36.67063,36.4627,36.50051,35.93344,35.93344,35.44197,34.70478,34.25112,34.0621,33.49503,32.96576,33.2493,32.73893,31.77491,30.52735,29.80906,29.3365,28.37248,27.16273,26.80358,26.59566,26.1231,6,29.200760618556686
2018,25.63164,24.79993,24.10054,23.81701,23.81701,23.43896,23.07981,22.72067,22.41823,21.94567,22.04018,21.90787,21.45421,20.92494,20.90604,20.67921,20.96275,20.96275,20.96275,21.20848,22.09689,22.32372,23.0042,23.89262,25.87737,27.20053,28.37248,29.2798,31.83162,33.55173,34.78039,35.631,36.95416,37.14319,37.72916,38.18282,39.48708,39.20355,39.22245,39.99745,40.01635,40.28098,40.35659,40.09196,40.64013,40.73464,40.84806,40.71574,41.2072,41.01818,41.26391,41.41513,41.50964,41.28281,40.33769,39.82733,39.92184,39.46818,39.05233,39.24135,39.18465,38.7877,38.39075,38.50416,38.23953,37.88038,37.69136,37.78587,38.37184,39.24135,40.24318,40.48891,39.84623,39.56269,40.05416,39.99745,39.50599,39.41147,38.95782,38.25843,37.54014,37.02977,37.16209,36.14136,35.82002,35.80112,34.91271,33.41942,32.4554,31.6615,30.60296,29.67675,28.75053,28.24016,27.67309,27.12492,7,33.13594597938145
2018,26.63346,25.74505,25.29139,24.83773,24.83773,24.44078,23.60908,23.06091,22.89079,22.9664,22.9664,22.60725,22.13469,22.11579,21.77555,21.77555,21.77555,21.60543,21.52982,21.94567,22.70177,23.04201,23.38225,24.40298,26.19871,27.95663,28.82614,29.84687,32.73893,34.13771,35.78222,36.57612,37.72916,37.74806,38.25843,38.65538,39.67611,40.01635,39.95964,39.77062,40.09196,40.29989,40.35659,40.31879,40.79135,41.24501,41.43403,41.47183,41.9633,41.47183,41.92549,41.66086,41.33952,41.32062,40.69684,39.95964,39.78952,39.56269,39.37367,39.69501,39.92184,39.75172,39.80842,39.22245,38.76879,38.35294,38.0505,38.73099,39.22245,40.07306,40.65903,40.98037,40.35659,40.28098,40.3755,40.69684,40.11086,39.33586,38.95782,38.20172,37.71026,37.38892,37.52124,37.2755,36.00904,35.61209,35.00722,34.40234,32.81454,32.07735,31.07552,30.14931,29.20419,28.82614,28.01334,27.31395,8,33.68019824742269
2018,26.142,25.61273,25.15908,24.68652,24.27066,24.06274,22.9853,22.66396,22.77737,22.68286,22.47494,21.85116,21.60543,21.60543,21.60543,21.60543,21.60543,21.90787,22.00238,22.00238,22.66396,23.51457,23.49567,24.17615,26.27432,27.95663,29.03406,30.26272,33.13588,34.68588,36.02795,36.91636,38.12611,38.22062,38.59867,38.61757,39.67611,39.86513,39.77062,39.82733,40.07306,40.22428,40.22428,40.65903,40.98037,40.90476,41.15049,41.45293,41.47183,41.37732,41.32062,41.15049,40.98037,40.96147,40.60232,39.78952,39.56269,39.39257,39.52489,40.03525,39.75172,39.46818,39.37367,39.12794,38.7877,38.40965,38.31514,38.20172,38.7877,39.50599,39.95964,40.45111,40.4322,40.12976,40.26208,40.20537,39.84623,38.65538,38.0316,37.89928,37.33221,36.99197,36.50051,36.50051,35.44197,35.06393,34.30783,33.32491,32.41759,31.6804,30.39504,29.50662,28.88285,28.5426,27.89992,27.06822,9,33.48920711340206
2018,25.85846,25.3481,24.74322,24.5542,24.19505,23.53347,23.13652,23.02311,22.9475,22.60725,22.55055,22.38042,21.90787,21.49201,21.49201,21.49201,21.73774,22.05908,22.05908,22.05908,22.83408,23.36335,24.25176,24.87554,27.29504,28.58041,29.35541,30.58406,33.51393,34.61027,36.4249,37.10538,38.23953,38.22062,38.22062,38.44745,38.90111,39.22245,39.20355,39.75172,40.47001,40.29989,40.75354,40.52671,40.77245,41.26391,41.33952,41.60415,41.47183,41.66086,41.83098,41.83098,41.73647,41.41513,40.56452,39.46818,39.82733,39.6005,39.26026,39.27916,38.95782,38.65538,38.8255,38.67428,38.12611,38.12611,37.93709,38.14501,38.73099,39.35477,39.73281,40.62123,40.20537,39.90294,39.73281,39.77062,39.71391,38.88221,38.86331,38.57977,37.71026,37.57794,37.80477,37.14319,36.4438,36.02795,35.46088,34.72368,32.90905,32.36088,31.60479,30.56516,29.41211,28.22126,28.24016,27.7109,10,33.63514546391754
