Year,Rainfall,Solar_Exposure,Min_Temp,Max_Temp,Average_MWH
2015.0,0.0,31.0,21.2,30.7,33.800308020833334
2015.0,0.0,18.3,21.1,27.5,28.883288020833334
2015.0,0.0,31.4,22.3,31.4,31.586819375
2015.0,0.0,24.4,22.9,33.8,34.83966697916666
2015.0,0.0,16.3,20.6,25.8,36.42216437499999
2015.0,0.0,27.9,21.3,28.8,34.47512885416666
2015.0,0.0,31.1,22.2,31.5,33.507016770833324
2015.0,0.0,31.9,21.4,30.8,33.118922395833344
2015.0,0.0,26.4,22.4,33.3,28.282031979166664
2015.0,0.4,15.9,21.7,28.4,29.23180125000001
2015.0,19.0,3.2,20.3,23.1,32.527706666666674
2015.0,5.0,15.7,20.3,23.2,32.93954968749999
2015.0,2.6,22.0,19.0,29.9,41.12891854166666
2015.0,0.4,28.2,21.1,35.0,39.40701510416667
2015.0,0.0,30.8,22.0,27.1,41.104783125
2015.0,0.0,28.3,21.1,29.1,33.07992010416666
2015.0,0.0,32.0,21.2,35.8,35.716644270833335
2015.0,0.0,30.2,21.5,27.2,35.11384302083333
2015.0,0.0,6.5,20.5,23.0,30.107619374999988
2015.0,12.8,23.6,18.4,27.1,37.39877177083334
2015.0,5.8,29.2,19.5,29.1,40.72576322916666
2015.0,0.0,29.1,22.3,29.3,29.49342645833333
2015.0,0.0,28.7,23.4,31.7,34.48574791666667
2015.0,0.0,28.2,23.2,31.6,36.73457145833334
2015.0,1.4,26.8,21.6,36.6,36.45846458333335
2015.0,3.0,3.3,19.8,21.1,39.75977572916666
2015.0,54.8,3.3,18.6,20.6,28.11057520833333
2015.0,61.2,4.4,16.9,21.5,28.93773791666666
2015.0,17.4,30.3,15.2,21.7,33.78447500000001
2015.0,0.0,28.0,14.3,25.2,33.947436458333335
2015.0,0.0,29.2,17.0,25.6,34.389979583333336
2015.0,0.0,18.9,19.6,25.2,34.68076052083333
2015.0,4.0,26.0,19.4,22.7,42.344946250000014
2015.0,1.8,24.0,20.0,24.0,40.54272166666667
2015.0,0.0,18.9,17.6,23.5,39.82059656249999
2015.0,8.0,6.5,18.7,24.0,32.97295260416665
2015.0,0.0,17.3,18.1,25.8,31.581412500000024
2015.0,0.0,21.6,19.2,27.7,35.218106979166656
2015.0,0.0,28.2,19.6,33.1,35.34998177083333
2015.0,0.0,9.1,21.8,27.1,35.43223479166668
2015.0,0.0,21.3,22.0,28.8,35.61508249999999
2015.0,0.0,26.3,22.1,30.7,35.96166447916668
2015.0,0.0,25.8,21.7,30.2,37.296825000000005
2015.0,6.0,16.4,20.2,27.0,38.95385197916666
2015.0,0.2,18.2,21.0,29.5,40.47900510416665
2015.0,0.6,25.0,19.6,29.1,38.17418822916668
2015.0,0.0,25.9,22.5,29.8,37.39336583333334
2015.0,0.0,26.6,22.4,29.8,33.98991416666667
2015.0,0.0,26.5,22.8,30.0,32.158340625000015
2015.0,0.0,19.4,22.0,27.5,34.274709791666666
2015.0,0.0,14.5,21.5,27.4,35.19899166666667
2015.0,8.2,11.7,20.8,24.7,42.27601583333333
2015.0,6.6,22.4,20.5,27.7,41.79292614583333
2015.0,0.0,19.2,21.8,28.0,40.19768489583333
2015.0,0.0,15.6,22.0,24.1,36.80948697916667
2015.0,0.0,9.1,19.7,23.6,36.23777166666666
2015.0,9.8,15.2,19.5,28.4,32.960016458333335
2015.0,0.6,20.9,21.2,27.0,34.63635145833333
2015.0,0.0,20.4,20.3,29.4,40.99916677083333
2015.0,0.0,17.9,21.5,37.9,41.11134781250001
2015.0,7.2,14.0,18.6,24.2,33.05250239583335
2015.0,0.0,21.6,17.9,28.7,34.15577208333332
2015.0,0.0,18.8,21.4,28.4,40.40370322916667
2015.0,0.0,22.8,19.6,27.5,42.316756875
2015.0,0.0,23.8,16.5,30.5,34.34750187500002
2015.0,1.0,17.1,18.3,27.0,40.124120625
2015.0,0.0,18.4,19.7,24.6,39.70127208333333
2015.0,0.0,23.8,20.0,31.3,39.943782187499984
2015.0,0.0,6.8,21.4,25.5,38.76424614583332
2015.0,0.0,19.2,21.2,30.2,37.062230520833324
2015.0,0.6,20.1,20.5,25.6,32.31898489583331
2015.0,1.4,3.5,20.2,22.6,32.65456083333334
2015.0,6.0,20.7,16.2,24.8,33.961337812500005
2015.0,0.0,13.5,17.4,22.8,30.264981666666667
2015.0,7.4,13.7,17.3,23.8,29.71411864583334
2015.0,0.0,12.3,15.6,25.3,30.512126041666672
2015.0,0.0,17.6,19.1,29.8,33.17974375
2015.0,0.0,21.5,19.9,28.1,34.65450104166667
2015.0,0.0,15.0,20.3,30.7,34.451765729166674
2015.0,1.6,6.7,18.1,23.4,35.23065697916665
2015.0,0.0,10.2,18.4,25.3,26.55684687499999
2015.0,22.0,17.7,18.6,28.2,32.16876739583334
2015.0,0.0,6.0,20.4,26.5,34.93408395833333
2015.0,0.0,18.2,15.2,23.2,35.973056250000006
2015.0,0.0,20.1,17.9,29.2,29.26616958333334
2015.0,0.0,21.0,14.0,27.1,29.17773812500001
2015.0,0.0,18.4,15.1,23.1,34.838121874999985
2015.0,18.8,16.7,15.3,26.4,36.33856041666667
2015.0,7.0,8.8,17.9,24.4,34.94084208333333
2015.0,0.0,10.1,16.5,23.8,36.13466583333332
2015.0,0.2,17.7,17.7,27.0,40.284958020833336
2015.0,18.2,14.6,19.0,31.0,39.39311312499999
2015.0,21.6,3.7,17.7,19.8,40.9030121875
2015.0,0.0,3.2,17.5,19.7,37.04311625
2015.0,0.6,17.0,15.8,23.2,35.91532500000001
2015.0,3.2,14.1,15.5,25.7,30.59997812500001
2015.0,0.0,15.2,15.2,24.3,37.22770104166669
2015.0,0.4,12.1,14.6,23.0,38.64704583333334
2015.0,12.4,13.1,15.2,20.4,31.112803437499995
2015.0,0.6,14.5,14.7,20.3,32.540256458333324
2015.0,0.0,11.4,15.6,21.1,38.36939437500001
2015.0,0.0,10.9,15.0,21.5,39.614963645833335
2015.0,0.0,15.9,15.0,20.8,40.91285979166667
2015.0,0.4,16.2,14.5,23.3,39.17647604166667
2015.0,1.8,16.2,15.2,26.7,38.08073625
2015.0,0.8,14.6,17.0,32.6,30.487604895833343
2015.0,2.2,3.9,19.8,25.2,31.47425197916668
2015.0,11.2,13.2,20.2,29.4,32.954803229166664
2015.0,91.0,10.4,17.8,21.9,32.2823
2015.0,74.2,3.4,13.9,17.2,26.75398343750001
2015.0,33.4,3.2,14.3,18.0,26.53174593750001
2015.0,0.0,3.8,13.6,18.8,27.77712375000001
2015.0,0.0,13.3,14.0,21.2,33.13552781250001
2015.0,34.0,13.2,15.4,27.9,32.08748
2015.0,5.0,14.0,14.1,24.6,40.80763010416666
2015.0,0.0,4.2,12.5,17.5,39.28730427083335
2015.0,0.0,15.1,12.6,18.2,36.36655739583332
2015.0,15.0,14.7,10.6,18.6,36.90602791666668
2015.0,32.4,6.6,10.7,18.4,36.57469906250001
2015.0,15.8,7.6,14.8,19.4,29.749067499999995
2015.0,28.2,7.2,14.6,21.7,30.9498428125
2015.0,0.8,8.9,16.3,23.6,39.38384541666666
