year,averagemwh,Rainfall amount (millimetres),Daily global solar exposure (MJ/m*m),Minimum temperature (Degree C),Maximum temperature (Degree C)
2011,14.723066979166669,2.0,21.5,19.2,23.6
2011,14.268144166666664,1.2,6.3,19.7,22.9
2011,14.564943020833338,0.0,21.2,18.4,22.0
2011,13.59324645833334,0.0,23.8,18.7,22.1
2011,17.274586145833336,0.0,28.1,16.7,34.1
2011,16.364567395833333,0.0,27.5,15.9,22.3
2011,17.318547187500002,0.0,30.1,16.8,28.2
2011,16.20375656249999,4.0,13.6,19.9,24.6
2011,15.118086562500004,0.0,29.5,20.4,23.0
2011,16.403308750000004,0.0,28.0,21.5,25.5
2011,15.62805208333333,1.2,22.6,21.0,24.6
2011,15.831493854166665,0.0,29.8,20.2,24.4
2011,15.808737708333332,0.0,30.6,21.1,24.3
2011,15.746888333333336,0.0,31.2,20.7,21.8
2011,15.784231875,1.6,29.2,20.3,23.3
2011,15.10116541666667,4.6,29.5,19.5,23.3
2011,21.654638645833327,0.0,19.7,10.5,14.7
2011,15.469725625,0.0,31.7,13.2,21.2
2011,18.13934604166666,0.0,31.7,13.1,18.2
2011,20.450480833333334,0.0,28.3,15.8,17.8
2011,19.41449781250001,0.0,12.1,14.9,21.8
2011,15.02175208333333,0.0,30.6,13.8,21.6
2011,13.320596041666668,0.0,30.7,16.1,19.5
2011,13.790183541666671,0.0,29.9,13.3,30.2
2011,12.547181666666674,0.0,25.8,14.6,21.6
2011,20.313480729166656,0.0,29.4,13.0,28.8
2011,20.087529791666665,0.0,29.0,14.6,23.3
2011,15.50902052083334,0.0,29.3,13.1,20.4
2011,19.3691290625,0.0,17.4,16.0,18.9
2011,18.925263958333343,0.0,14.7,14.1,18.0
2011,19.26088677083334,0.0,21.7,15.6,29.7
2011,15.137146666666665,0.0,29.0,20.6,29.2
2011,29.24240781250001,0.0,10.4,11.5,21.0
2011,18.0080103125,16.0,6.9,11.3,17.1
2011,17.051985,0.0,20.3,8.6,20.2
2011,20.16071104166667,0.0,24.4,9.9,25.6
2011,22.616141770833337,0.0,22.5,11.7,19.1
2011,21.696633541666674,0.0,12.5,10.8,22.7
2011,21.46566072916667,1.0,19.2,15.6,25.6
2011,20.44353895833333,1.0,22.3,12.1,21.4
2011,15.888174583333338,0.0,15.2,11.1,18.7
2011,15.491960625,0.0,5.4,13.4,16.2
2011,20.82879708333334,0.0,21.3,17.4,16.3
2011,21.747392812500006,0.0,17.9,15.2,18.1
2011,23.1394359375,0.0,5.7,12.7,22.9
2011,18.005818958333332,0.0,17.4,14.9,20.1
2011,17.282591875,0.0,20.8,14.4,17.6
2011,22.11932197916667,7.0,21.1,15.7,16.7
2011,24.5342184375,0.0,3.9,9.2,13.6
2011,21.06962885416668,0.0,18.7,11.3,18.4
2011,22.20276458333333,0.0,14.8,12.2,16.2
2011,20.85034302083333,0.0,6.1,12.4,13.6
2011,19.89541177083333,0.0,5.5,10.5,12.6
2011,23.551351562499992,1.0,18.4,10.3,15.5
2011,26.147923125000005,0.0,19.8,7.0,21.8
2011,24.466113229166663,0.0,4.7,6.5,20.9
2011,22.548949895833346,0.0,16.4,6.1,16.4
2011,21.567544687500003,0.0,18.2,12.3,21.2
2011,23.061105937499992,0.0,18.0,9.7,28.1
2011,23.94172302083333,1.0,16.4,11.9,28.4
2011,21.144307604166663,18.0,17.9,12.9,20.0
2011,27.48135572916667,2.0,7.0,16.2,18.7
2011,31.45098020833333,4.0,10.2,16.2,23.5
2011,30.45186354166665,7.0,15.5,12.7,28.9
2011,12.517253541666667,6.0,11.2,8.0,17.3
2011,26.135323854166668,0.0,10.3,14.7,22.5
2011,18.670071145833333,0.0,5.9,16.8,28.6
2011,17.043585312500003,0.0,13.8,16.5,19.5
2011,26.84284874999999,0.0,14.6,14.7,29.4
2011,25.618054270833337,0.0,15.6,16.4,27.1
2011,18.205021770833334,0.0,14.6,12.7,22.2
2011,18.075201875,0.0,14.7,15.5,23.8
2011,22.55241895833333,0.0,13.9,16.2,26.5
2011,24.8137590625,0.0,13.9,12.4,19.5
2011,23.420802500000008,0.0,14.4,13.8,19.1
2011,22.74760520833334,0.0,13.1,14.5,19.6
2011,24.1597321875,3.0,13.6,12.4,17.1
2011,17.933514583333327,0.0,7.4,10.3,18.2
2011,16.816812812499997,0.0,13.2,11.3,16.2
2011,21.984025416666665,0.0,12.0,8.9,14.8
2011,16.359431666666662,0.0,9.6,9.4,16.0
2011,23.9713025,0.0,11.1,9.5,13.8
2011,22.70049677083333,0.0,0.5,7.3,15.2
2011,22.540550520833342,0.0,5.3,9.0,15.5
2011,18.495883125,0.0,9.7,6.5,15.3
2011,17.288069791666665,0.0,11.3,5.7,17.4
2011,19.57606791666668,0.0,12.2,5.1,14.9
2011,18.967687604166667,0.0,0.4,5.7,19.3
2011,17.993038333333335,0.0,8.2,8.9,16.2
2011,15.851657187499994,0.0,3.1,5.6,18.1
2011,15.514236979166666,0.0,8.4,7.7,13.4
2011,18.257971250000004,0.0,11.8,6.7,17.0
2011,18.582246666666663,0.0,9.5,7.7,17.8
2011,14.187924583333334,0.0,10.0,5.8,20.4
2011,14.829717604166666,0.0,11.5,5.1,17.1
2011,15.291662708333336,0.0,11.5,9.1,14.4
2011,20.52460739583333,0.0,5.3,8.9,13.2
2011,21.848180104166666,0.0,11.0,8.7,17.9
2011,23.85006489583333,0.0,11.1,6.2,20.9
2011,22.300631666666664,8.0,8.4,8.4,17.0
2011,20.50397520833333,0.0,4.7,10.4,13.9
2011,17.184359895833328,0.0,10.0,10.3,16.3
2011,21.432430625,0.0,9.0,5.4,18.7
2011,25.718112500000004,0.0,11.4,5.7,17.4
2011,24.689233958333336,0.0,11.0,9.1,17.8
2011,17.881660416666662,0.0,10.2,12.3,18.1
2011,17.072799583333328,48.0,10.5,10.2,17.6
2011,22.047929895833324,68.0,10.1,7.7,15.5
2011,26.644558958333324,24.0,7.6,9.0,16.9
2011,24.2928384375,22.0,8.5,12.3,18.4
2011,22.903168749999992,0.0,10.9,10.5,18.1
2011,16.67329968749999,0.0,10.7,10.8,14.6
2011,15.227209583333329,0.0,3.4,16.4,17.8
2011,21.83120020833333,17.0,8.2,6.8,13.1
2011,22.802015625000006,31.0,10.7,6.6,11.7
2011,20.8377440625,1.0,10.8,6.9,15.7
2011,20.86275854166667,7.0,10.6,8.1,14.4
2011,16.36052770833333,0.0,10.5,6.4,17.8
2011,23.05069906249999,0.0,7.8,5.9,17.1
2011,21.3237903125,0.0,5.4,9.2,16.7
2011,22.18359281250001,0.0,9.6,7.7,17.2
